"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-06 09:00","2023","09","06","09:00","10.9","","6.5","","74","","0.0","","17","","5","","","","89.05","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-06 10:00","2023","09","06","10:00","11.5","","6.9","","73","","0.0","","15","","12","","","","89.00","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-06 11:00","2023","09","06","11:00","13.0","","7.3","","68","","0.0","","17","","11","","","","88.97","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-06 12:00","2023","09","06","12:00","15.0","","7.0","","59","","0.0","","17","","15","","","","88.93","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-06 13:00","2023","09","06","13:00","16.0","","6.5","","53","","0.0","","17","","8","","","","88.91","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-06 14:00","2023","09","06","14:00","10.1","","7.6","","84","","0.9","","35","","28","","","","89.00","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-06 15:00","2023","09","06","15:00","12.9","","7.8","","71","","0.3","","3","","13","","","","88.94","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-06 16:00","2023","09","06","16:00","13.9","","6.9","","63","","0.0","","3","","12","","","","88.89","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-06 17:00","2023","09","06","17:00","14.9","","6.7","","58","","0.0","","7","","6","","","","88.85","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-06 18:00","2023","09","06","18:00","14.1","","7.8","","66","","0.0","","9","","9","","","","88.84","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-06 19:00","2023","09","06","19:00","12.5","","8.4","","76","","0.0","","14","","8","","","","88.87","","","","","","NA"
